dist_id,city,district,city_title,dist_title,area_sqm,urban_15_34,rural_15_34,total_15_34,dense_15_34
VNM.6.4_1,BếnTre,ChợLách,Tỉnh,Huyện,168474823.17337838,1796.0,23939.0,25735.0,153.0
VNM.59.1_1,TràVinh,CầuKè,Tỉnh,Huyện,247137724.11729494,1363.0,22129.0,23492.0,95.0
VNM.47.10_1,QuảngNam,NôngSơn,Tỉnh,Huyện,471278198.97598577,0.0,7269.0,7269.0,15.0
VNM.30.8_1,HoàBình,LươngSơn,Tỉnh,Huyện,362942108.3661622,3845.0,25684.0,29529.0,81.0
VNM.47.4_1,QuảngNam,ĐôngGiang,Tỉnh,Huyện,822257385.1093869,1549.0,6995.0,8544.0,10.0
VNM.42.3_1,NinhBình,KimSơn,Tỉnh,Huyện,169740031.35085377,3817.0,54718.0,58535.0,345.0
VNM.3.4_1,BắcGiang,LụcNam,Tỉnh,Huyện,609292774.1362852,3786.0,68600.0,72386.0,119.0
VNM.29.9_1,HàTĩnh,KỳAnh,Tỉnh,Huyện,758458142.163384,0.0,36883.0,36883.0,49.0
VNM.15.6_1,ĐắkLắk,EaKar,Tỉnh,Huyện,1036109197.3546382,6953.0,37291.0,44244.0,43.0
VNM.58.7_1,TiềnGiang,GòCôngTây,Tỉnh,Huyện,184639611.18427363,2416.0,29480.0,31896.0,173.0
VNM.6.2_1,BếnTre,BaTri,Tỉnh,Huyện,352585558.3125893,2495.0,46614.0,49109.0,139.0
VNM.12.3_1,CầnThơ,CáiRăng,ThànhPhố,Quận,67750901.36658178,34589.0,0.0,34589.0,511.0
VNM.32.3_1,KhánhHòa,DiênKhánh,Tỉnh,Huyện,343493844.7107392,5904.0,37348.0,43252.0,126.0
VNM.54.5_1,ThừaThiênHuế,NamĐông,Tỉnh,Huyện,647193848.8978815,911.0,6613.0,7524.0,12.0
VNM.57.8_1,ThanhHóa,LangChánh,Tỉnh,Huyện,583676330.7480378,1326.0,15045.0,16371.0,28.0
,KhánhHòa,TrườngSa,Tỉnh,Huyện,,11.0,33.0,44.0,
,BàRịa-VũngTàu,CônĐảo,Tỉnh,Huyện,,0.0,3037.0,3037.0,
VNM.27.14_1,HàNội,HoànKiếm,ThànhPhố,Quận,5170808.613223874,38227.0,0.0,38227.0,7393.0
