ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.58.5.17_1,TiềnGiang,ChâuThành,TânHiệp,Tỉnh,Huyện,ThịTrấn,788321.424698753,4826,4826.0,,6122.0
VNM.58.5.9_1,TiềnGiang,ChâuThành,LongAn,Tỉnh,Huyện,Xã,6125894.2455277955,9509,,9509.0,1552.0
VNM.58.5.23_1,TiềnGiang,ChâuThành,VĩnhKim,Tỉnh,Huyện,Xã,5777127.394318796,10226,,10226.0,1770.0
VNM.58.4.10_1,TiềnGiang,ChợGạo,LươngHòaLạc,Tỉnh,Huyện,Xã,9567114.677778287,10791,,10791.0,1128.0
VNM.58.7.6_1,TiềnGiang,GòCôngTây,LongBình,Tỉnh,Huyện,Xã,19504863.20923143,12587,,12587.0,645.0
VNM.58.6.13_1,TiềnGiang,GòCôngĐông,VàmLáng,Tỉnh,Huyện,ThịTrấn,17968000.54188826,13470,13470.0,,750.0
VNM.6.5.10_1,BếnTre,ChâuThành,PhúĐức,Tỉnh,Huyện,Xã,14615701.446357302,7690,,7690.0,526.0
VNM.6.5.22_1,BếnTre,ChâuThành,TườngĐa,Tỉnh,Huyện,Xã,9295654.157490779,5794,,5794.0,623.0
VNM.6.5.12_1,BếnTre,ChâuThành,PhướcThạnh,Tỉnh,Huyện,Xã,9001219.57233223,6167,,6167.0,685.0
VNM.6.5.15_1,BếnTre,ChâuThành,SơnHòa,Tỉnh,Huyện,Xã,5969262.337067478,5217,,5217.0,874.0
VNM.6.4.1_1,BếnTre,ChợLách,ChợLách,Tỉnh,Huyện,ThịTrấn,8274717.0444817385,8277,8277.0,,1000.0
VNM.6.4.2_1,BếnTre,ChợLách,HòaNghĩa,Tỉnh,Huyện,Xã,17757745.76963229,11581,,11581.0,652.0
VNM.6.6.4_1,BếnTre,GiồngTrôm,ChâuHòa,Tỉnh,Huyện,Xã,18789758.256199237,9094,,9094.0,484.0
VNM.6.3.1_1,BếnTre,BìnhĐại,BìnhĐại,Tỉnh,Huyện,ThịTrấn,9851782.63660014,9915,9915.0,,1006.0
VNM.6.3.5_1,BếnTre,BìnhĐại,ĐạiHòaLộc,Tỉnh,Huyện,Xã,23299199.058783993,7919,,7919.0,340.0
