STORE_ID,STORE_NAME,is_winpay,region,city,district,ward,address,concept,status,date_open,date_close,lat,long
6883,"6883- WM+ HNI 161 Phú Nhi, Sơn Tây",0,North,Ha Noi,TX. Sơn Tây,P. Phú Thịnh,"161 Phố Phú Nhi 2, Phường Phú Thịnh, Thị Xã Sơn Tây, Thành phố Hà Nội, Việt Nam",WiN,Đang hoạt động,2022-12-25 00:00:00,3000-01-01 00:00:00,21.1506958007812,105.499214172363
3360,3360- WM+ VTU 286 Lê Lợi,0,South,Ba Ria Vung Tau,TP. Vũng Tàu,P. 7,286 Lê Lợi - phường 7 - thành Phố Vũng Tàu - tỉnh Bà Rịa - Vũng Tàu - Việt Nam,WiN,Đang hoạt động,2017-12-24 00:00:00,3000-01-01 00:00:00,10.3679,107.076
2ACD,2ACD- WM+ NBH Số 8 Trì Chính,0,North,Ninh Binh,H. Kim Sơn,TT. Phát Diệm,"Số 8 Phố Trì Chính, Thị Trấn Phát Diệm, Huyện Kim Sơn, Tỉnh Ninh Bình",Rural,Đang hoạt động,2024-07-28 00:00:00,3000-01-01 00:00:00,20.0930671691895,106.089576721191
4840,4840- WM+ HPG 60H Kiều Sơn,0,North,Hai Phong,Q. Hải An,P. Đằng Lâm,"60H Kiều Sơn, Phường Đằng Lâm, Q. Hải An, Thành phố Hải Phòng, Việt Nam",WiN,Đang hoạt động,2019-11-20 00:00:00,3000-01-01 00:00:00,20.8390293121338,106.705146789551
5658,5658- WM+ BNH Thôn Đồng Xép,0,North,Bac Ninh,H. Tiên Du,X. Hoàn Sơn,"Ngã 3 cây xăng Thôn Đồng Xép, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",Rural,Đang hoạt động,2021-04-29 00:00:00,3000-01-01 00:00:00,21.1094074249268,105.992095947266
6024,"6024- WM+ HDG Thái Mông, Kinh Môn",0,North,Hai Duong,TX. Kinh Môn,X. Quang Thành,"Thôn Thái Mông, Xã Quang Thành, Thị xã Kinh Môn, Tỉnh Hải Dương, Việt Nam",Rural,Đang hoạt động,2021-11-07 00:00:00,3000-01-01 00:00:00,21.0335025787354,106.435836791992
3995,3995- WM+ HNI Khu 6 Thụy Lôi,0,North,Ha Noi,H. Đông Anh,X. Thụy Lâm,"Khu 6, Thụy Lôi, Xã Thuỵ Lâm, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",Rural,Đang hoạt động,2018-11-17 00:00:00,3000-01-01 00:00:00,21.1761,105.908
1704,1704- WM VCP TGG Mỹ Tho,0,West,Tien Giang,TP. Mỹ Tho,P. 1,"1A Hùng Vương, P1, thành Phố Mỹ Tho,",WMT,Đang hoạt động,2022-06-13 00:00:00,3000-01-01 00:00:00,10.3575477600098,106.363739013672
4984,4984- WM+ QBH 31 Hoàng Diệu,0,Central,Quang Binh,TP. Đồng Hới,P. Nam Lý,"31 Hoàng Diệu, Phường Nam Lý, Thành phố Đồng Hới, Tỉnh Quảng Bình, Việt Nam",Urban,Đang hoạt động,2019-10-26 00:00:00,3000-01-01 00:00:00,17.4677,106.598
6777,6777- WM+ HNI 39 Ngõ 192 Lê Trọng Tấn,0,North,Ha Noi,Q. Hoàng Mai,P. Định Công,"Số nhà 39 Ngõ 192 Phố Lê Trọng Tấn, Phường Định Công, Q. Hoàng Mai, Thành phố Hà Nội, Việt Nam",WiN,Đang hoạt động,2022-11-30 00:00:00,3000-01-01 00:00:00,20.9935188293457,105.83016204834
4991,4991- WM+ QNH Khu 1 TT Cái Rồng,0,North,Quang Ninh,H. Vân Đồn,TT. Cái Rồng,"Khu 1, Thị Trấn Cái Rồng, Huyện Vân Đồn, Tỉnh Quảng Ninh, Việt Nam",Urban,Đang hoạt động,2019-11-23 00:00:00,3000-01-01 00:00:00,21.0669765472412,107.417098999023
5805,5805- WM+ HNI 55 Bùi Huy Bích,0,North,Ha Noi,Q. Hoàng Mai,P. Hoàng Liệt,"Số 55 Bùi Huy Bích, Phường Hoàng Liệt, Q. Hoàng Mai, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2021-10-24 00:00:00,3000-01-01 00:00:00,20.9679374694824,105.844764709473
4645,4645- WM+ NBH 106 Đường 30/6,0,North,Ninh Binh,TP. Ninh Bình,P. Nam Thành,"106 Đường 30/6, Phường Nam Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình, Việt Nam",Urban,Đang hoạt động,2019-08-08 00:00:00,3000-01-01 00:00:00,20.2466,105.973
3837,3837- WM+ HNI Thôn 7 Ninh Hiệp,0,North,Ha Noi,H. Gia Lâm,X. Ninh Hiệp,"Thôn 7, Xã Ninh Hiệp, Huyện Gia Lâm, Thành phố Hà Nội, Việt Nam",Rural,Đang hoạt động,2018-08-04 00:00:00,3000-01-01 00:00:00,21.0822,105.94
4656,4656- WM+ HNI 126A Thanh Vị,0,North,Ha Noi,TX. Sơn Tây,P. Sơn Lộc,"126A Thanh Vị, Phường Sơn Lộc, Thị Xã Sơn Tây, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2019-08-08 00:00:00,3000-01-01 00:00:00,21.1142387390137,105.492263793945
5994,"5994- WM+ VPC Giã Bàng, Yên Lạc",0,North,Vinh Phuc,H. Yên Lạc,X. Tề Lỗ,"Khu 2, thôn Giã Bàng, Xã Tề Lỗ, Huyện Yên Lạc, Tỉnh Vĩnh Phúc, Việt Nam",Rural,Đang hoạt động,2021-10-31 00:00:00,3000-01-01 00:00:00,21.2562465667725,105.54655456543
2A28,"2A28- WM+ NAN Sơn Hải, Quỳnh Lưu",0,Central,Nghe An,H. Quỳnh Lưu,X. Sơn Hải,"Xóm 10, Xã Sơn Hải, Huyện Quỳnh Lưu, Tỉnh Nghệ An, Việt Nam",Rural,Đang hoạt động,2023-05-19 00:00:00,3000-01-01 00:00:00,19.1073703765869,105.673217773438
