ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,urban_1,urban_2,urban_3,urban_4,urban_5,rural_1_2,rural_3,rural_4,rural_5
VNM.54.1.4_1,ThừaThiênHuế,ALưới,ARoằng,Tỉnh,Huyện,Xã,57040762.9693305,,,,,0.0,64.0,128.0,270.0,210.0
VNM.54.5.3_1,ThừaThiênHuế,NamĐông,HươngHòa,Tỉnh,Huyện,Xã,11457809.120681603,,,,,0.0,156.0,164.0,192.0,149.0
VNM.47.15.2_1,QuảngNam,TamKỳ,AnPhú,Tỉnh,ThànhPhố,Phường,12475227.982458135,334.0,493.0,559.0,809.0,495.0,0.0,,,0.0
VNM.47.3.15_1,QuảngNam,ĐiệnBàn,ĐiệnThắngNam,Tỉnh,ThịXã,Xã,5824677.438279554,,,,,0.0,464.0,297.0,463.0,602.0
VNM.47.18.2_1,QuảngNam,TiênPhước,TiênCảnh,Tỉnh,Huyện,Xã,37535944.94681912,,,,,0.0,784.0,477.0,584.0,681.0
VNM.47.12.1_1,QuảngNam,PhúNinh,PhúThịnh,Tỉnh,Huyện,ThịTrấn,6500072.9965200825,137.0,228.0,269.0,323.0,286.0,0.0,,,0.0
VNM.8.7.15_1,BìnhĐịnh,QuyNhơn,NhơnPhú,Tỉnh,ThànhPhố,Phường,12853778.433391755,631.0,994.0,1376.0,2091.0,1317.0,0.0,,,0.0
VNM.45.5.1_1,PhúYên,SôngCầu,XuânBình,Tỉnh,ThịXã,Xã,52298624.026625745,,,,,0.0,814.0,625.0,717.0,514.0
VNM.32.6.14_1,KhánhHòa,NhaTrang,VĩnhHải,Tỉnh,ThànhPhố,Phường,3975118.1376965125,647.0,1175.0,1509.0,1842.0,1535.0,0.0,,,0.0
VNM.32.2.13_1,KhánhHòa,CamRanh,CamThịnhTây,Tỉnh,ThànhPhố,Xã,31161523.08877416,,,,,0.0,216.0,330.0,412.0,389.0
VNM.32.8.6_1,KhánhHòa,VạnNinh,VạnLong,Tỉnh,Huyện,Xã,30204461.310267214,,,,,0.0,491.0,385.0,625.0,711.0
VNM.32.5.3_1,KhánhHòa,KhánhVĩnh,KhánhBình,Tỉnh,Huyện,Xã,88472175.4984486,,,,,0.0,186.0,219.0,357.0,381.0
VNM.34.3.4_1,KonTum,ĐắkTô,DiênBình,Tỉnh,Huyện,Xã,45235217.265657425,,,,,0.0,378.0,327.0,505.0,580.0
VNM.46.1.15_1,QuảngBình,BốTrạch,MỹTrạch,Tỉnh,Huyện,Xã,8958395.290318111,,,,,0.0,270.0,158.0,188.0,221.0
VNM.50.2.8_1,QuảngTrị,CamLộ,CamThành,Tỉnh,Huyện,Xã,44297261.87263569,,,,,0.0,575.0,442.0,438.0,520.0
VNM.29.6.2_1,HàTĩnh,HươngKhê,HàLinh,Tỉnh,Huyện,Xã,76622166.44113815,,,,,0.0,496.0,286.0,432.0,528.0
VNM.29.1.22_1,HàTĩnh,CẩmXuyên,CẩmThành,Tỉnh,Huyện,Xã,11242758.533186011,,,,,0.0,527.0,417.0,557.0,540.0
VNM.50.6.11_1,QuảngTrị,HảiLăng,HảiQuy,Tỉnh,Huyện,Xã,6835483.255232829,,,,,0.0,423.0,235.0,266.0,283.0
VNM.48.12.9_1,QuảngNgãi,TâyTrà,TràXinh,Tỉnh,Huyện,Xã,80684229.033976,,,,,0.0,108.0,113.0,151.0,185.0
VNM.48.14.5_1,QuảngNgãi,TưNghĩa,NghĩaKỳ,Tỉnh,Huyện,Xã,26359901.70068937,,,,,0.0,1396.0,967.0,1477.0,1014.0
VNM.32.4.8_1,KhánhHòa,KhánhSơn,TôHạp,Tỉnh,Huyện,ThịTrấn,16827313.740523767,163.0,246.0,327.0,391.0,251.0,0.0,,,0.0
VNM.11.9.3_1,BìnhThuận,TánhLinh,ĐứcBình,Tỉnh,Huyện,Xã,78510695.94069806,,,,,0.0,521.0,447.0,499.0,464.0
VNM.32.8.1_1,KhánhHòa,VạnNinh,ĐạiLãnh,Tỉnh,Huyện,Xã,19432717.249785144,,,,,0.0,681.0,529.0,687.0,538.0
VNM.46.7.6_1,QuảngBình,ĐồngHới,ĐồngSơn,Tỉnh,ThànhPhố,Phường,19744066.79542008,275.0,523.0,563.0,714.0,625.0,0.0,,,0.0
VNM.32.6.15_1,KhánhHòa,NhaTrang,VĩnhHiệp,Tỉnh,ThànhPhố,Xã,2823918.504655149,,,,,0.0,1026.0,882.0,1050.0,618.0
VNM.11.9.1_1,BìnhThuận,TánhLinh,BắcRuộng,Tỉnh,Huyện,Xã,92776949.21003309,,,,,0.0,455.0,386.0,377.0,309.0
VNM.50.10.8_1,QuảngTrị,VĩnhLinh,VĩnhHòa,Tỉnh,Huyện,Xã,14727282.281956634,,,,,0.0,365.0,260.0,241.0,235.0
VNM.47.11.16_1,QuảngNam,NúiThành,TamXuânI,Tỉnh,Huyện,Xã,17936081.923045304,,,,,0.0,1149.0,782.0,987.0,943.0
VNM.29.12.17_1,HàTĩnh,ThạchHà,ThạchLiên,Tỉnh,Huyện,Xã,9074053.665897764,,,,,0.0,403.0,221.0,267.0,434.0
VNM.50.3.1_1,QuảngTrị,ĐaKrông,ABung,Tỉnh,Huyện,Xã,25186981.94876241,,,,,0.0,124.0,132.0,207.0,218.0
VNM.19.5.2_1,ĐàNẵng,NgũHànhSơn,HoàQuý,ThànhPhố,Quận,Phường,14494286.670138061,432.0,616.0,886.0,1509.0,1377.0,0.0,,,0.0
VNM.34.1.11_1,KonTum,ĐắkGlei,NgọcLinh,Tỉnh,Huyện,Xã,75336823.89838827,,,,,0.0,147.0,184.0,227.0,163.0
VNM.48.14.12_1,QuảngNgãi,TưNghĩa,NghĩaThuận,Tỉnh,Huyện,Xã,14674670.300058901,,,,,0.0,646.0,428.0,657.0,395.0
VNM.11.3.10_1,BìnhThuận,HàmTân,ThắngHải,Tỉnh,Huyện,Xã,103157609.2904406,,,,,0.0,479.0,286.0,393.0,300.0
VNM.29.6.20_1,HàTĩnh,HươngKhê,PhúcTrạch,Tỉnh,Huyện,Xã,37911564.86022416,,,,,0.0,783.0,347.0,405.0,243.0
VNM.29.7.18_1,HàTĩnh,HươngSơn,SơnMỹ,Tỉnh,Huyện,Xã,3384000.3516172203,,,,,0.0,289.0,112.0,94.0,97.0
VNM.50.5.16_1,QuảngTrị,GioLinh,LinhHải,Tỉnh,Huyện,Xã,20275113.45065974,,,,,0.0,142.0,129.0,170.0,184.0
VNM.34.2.9_1,KonTum,ĐắkHà,HàMòn,Tỉnh,Huyện,Xã,37132188.98761721,,,,,0.0,315.0,313.0,393.0,257.0
VNM.54.4.2_1,ThừaThiênHuế,HươngTrà,BìnhThành,Tỉnh,ThịXã,Xã,64243954.82471459,,,,,0.0,226.0,218.0,303.0,310.0
